Season,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
2023,"Guillo Zuñiga","STL",0,0,0,2,0,2,18,0,0,0.5,0.5,0,0,99.39798990885417,4.5,,-0.7449596405029295,0.9083921134471895,0.06338298320770264,"Guillo Zuniga",19588,670871
2022,"Rob Zastryzny","- - -",0,0,0,6,0,4,6.7500036209841126,2.250001206994704,0,0.25,0,0.416666666,0,92.23550415039062,6.7500036209841126,,2.36243059933164,4.212893346945114,0.062407009303569794,"Rob Zastryzny",15094,642239
2024,"Brent Honeywell","- - -",1,1,1,20,1,37.2,4.300885137240871,2.6283186949805324,0.7168141895401452,0.25217391304347825,0.80882353,0.422413793,0.069767441,94.7176917904713,2.6283186949805324,,4.28152407313002,4.972223964246256,0.06230825278908014,"Brent Honeywell",16466,641703
2023,"Jacob Latz","TEX",0,0,0,3,0,6.1,7.1052635145319645,4.263158108719178,0,0.07142857142857142,1,0.357142857,0,94.4779052734375,0,,3.097145614729694,5.185590040334887,0.06206907704472542,"Jacob Latz",21306,656641
2024,"Grant Holman","OAK",1,1,0,18,0,15.2,9.191491972758671,5.170214234676752,0.5744682482974169,0.34782608695652173,0.7421875,0.44680851,0.0625,94.4740234375,4.021277738081919,,3.8686076373199714,4.582999404060582,0.06197579950094223,"Grant Holman",30002,680880
2024,"Justin Topa","MIN",0,0,0,3,0,2.1,7.714286765273879,0,0,0.16666666666666666,1,0.5,0,,0,,1.4521938304511552,2.748201212351177,0.06175822764635086,"Justin Topa",15145,623437
2023,"Jackson Stephens","ATL",0,0,0,5,0,12,8.250000655651144,3.7500002980232474,0.7500000596046495,0.34285714285714286,0.84337349,0.411764705,0.1,93.47494506835938,3.000000238418598,,3.7550403992335033,4.0495002175935,0.06158685311675072,"Jackson Stephens",14420,623451
2023,"Chris Paddack","MIN",1,0,0,2,0,5,14.4,1.8,1.8,0.4166666666666667,0.71428571,0.307692307,0.25,95.37763671875,5.4,,3.2550403594970705,1.9777217626571657,0.061170365661382675,"Chris Paddack",20099,663978
2022,"Bryce Montes de Oca","NYM",0,0,0,3,0,3.1,16.20000617981193,5.400002059937309,0,0.6363636363636364,0.55555556,0.454545454,0,,10.800004119874618,,1.3124303150174383,2.200652296222227,0.05983468145132065,"Bryce Montes de Oca",21319,656755
2023,"Sammy Peralta","CHW",2,0,0,16,0,20,8.100002317429253,4.950001416206765,0.9000002574921391,0.288135593220339,0.69852941,0.393442622,0.086956521,,4.050001158714626,,4.405040688514803,5.006395377606397,0.059252917766571045,"Sammy Peralta",25589,671111
2022,"Cade Cavalli","WSN",0,1,0,1,1,4.1,12.461539375711542,4.153846458570514,0,0.5,0.36363636,0.5,0,95.46150716145833,14.538462604996798,,3.8047387447582937,5.512857413093965,0.0591193251311779,"Cade Cavalli",27473,676917
2023,"Thyago Vieira","MIL",0,1,0,2,0,3,6,3,0,0,0,0.142857142,0,,0,,2.9217070261637375,5.67729328274727,0.059044335037469864,"Thyago Vieira",14510,600986
2024,"Nabil Crismatt","LAD",1,1,0,5,0,7,7.714285714285714,0,1.2857142857142858,0.3157894736842105,0.71428571,0.45,0.166666666,90.9429867393092,2.5714285714285716,,3.309336921146938,2.7482012693371094,0.059000369161367416,"Nabil Crismatt",17732,622503
2023,"Isiah Kiner-Falefa","NYY",0,0,0,4,0,4,2.25,0,0,0.26666666666666666,0.75,0.2,0,72.82762654622395,2.25,,2.7550403594970705,6.888419744372368,0.05865109711885452,"Isiah Kiner-Falefa",16512,643396
2022,"Ryan Yarbrough","TBR",3,8,0,20,9,80,6.862500654459062,2.4750002360344157,1.350000128746045,0.30522088353413657,0.73896353,0.37890625,0.115384615,86.88998170882937,4.500000429153483,,4.774931160211579,4.74941138292364,0.058477580547332764,"Ryan Yarbrough",16502,642232
2023,"Sean Hjelle","SFG",2,1,0,15,0,29,9.62069092069046,4.034483289321806,0.9310346052281091,0.3977272727272727,0.59055118,0.533333333,0.15,,6.517242236596763,,4.2205577278817765,4.01597270369462,0.05811719596385956,"Sean Hjelle",21481,663546
2022,"Drew Carlton","DET",0,0,0,5,0,8.2,7.269231302498399,0,1.0384616146426284,0.125,0,0.48,0.1,91.45953010110294,2.076923229285257,,2.9970463778140273,3.205164936110345,0.05772792547941208,"Drew Carlton",19868,656290
2022,"Ryan Castellani","OAK",0,0,0,3,0,2.2,3.37500201165796,0,0,0.2,0.5,0.6,0,93.3260498046875,0,,2.3624305546281064,3.4727082693739346,0.05720097944140434,"Ryan Castellani",16377,624418
2023,"Peyton Battenfield","CLE",0,5,0,7,6,34.2,7.009615898837742,3.1153848439278855,1.8173078256245998,0.27,0.66298343,0.429906542,0.159090909,91.15557399309014,5.192308073213143,,5.360809744744623,4.834294624594855,0.0569259375333786,"Peyton Battenfield",25777,685410
2024,"José Marte","LAA",0,0,0,14,0,19.1,6.5172424509184035,4.655173179227431,0.4655173179227431,0.24074074074074073,0.80508475,0.563636363,0.066666666,96.75828071489725,2.3275865896137153,,4.097514414135281,4.5982106737041715,0.05687916651368141,"Jose Marte",21761,665896
2023,"Michael Tonkin","ATL",7,3,1,45,0,80,8.43750080466278,2.587500246763253,1.462500139474882,0.24056603773584906,0.6779661,0.382882882,0.135416666,,4.275000407695809,,4.430040471553814,4.301562564041348,0.056667815893888474,"Michael Tonkin",10315,543859
2024,"Tommy Nance","TOR",0,3,0,20,0,22,7.772727946604637,3.6818185010232494,0.8181818891162776,0.25806451612903225,0.63492063,0.523809523,0.117647058,94.06256103515625,4.090909445581388,,3.9846616674060726,3.9712136165025096,0.05652343109250069,"Tommy Nance",19178,667297
