Season,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
2024,"Max Kepler","MIN",105,399,8,43,42,1,0.055137844,0.200501253,0.127717391,0.300353356,0.252717391,0.301507537,0.380434782,-3.516877432767059,-0.4715559482574463,0.961767766672015,"Max Kepler",12144,596146
2024,"Nick Ahmed","- - -",71,228,2,20,17,2,0.048245614,0.22368421,0.066666667,0.2875,0.228571428,0.266666666,0.295238095,-11.694662380920818,8.888443641364574,0.4943294762273213,"Nick Ahmed",12147,605113
2024,"Eddie Rosario","- - -",91,319,10,33,35,9,0.050156739,0.24137931,0.141414141,0.196261682,0.175084175,0.214511041,0.316498316,-19.077903034125537,-11.14948159456253,-2.0246943792164727,"Eddie Rosario",12155,592696
2024,"Austin Barnes","LAD",54,156,1,12,11,3,0.089743589,0.23076923,0.042857143,0.349514563,0.264285714,0.331168831,0.307142857,-2.501180040316993,2.5506227016448975,0.5416295833255449,"Austin Barnes",12158,605131
2024,"Ben Gamel","- - -",38,99,1,22,4,1,0.181818181,0.242424242,0.086419753,0.339285714,0.24691358,0.383838383,0.333333333,0.9256362040002495,-4.431650698184967,-0.02136127222276417,"Ben Gamel",12160,592325
2024,"Xander Bogaerts","SDP",111,463,11,50,44,13,0.060475161,0.170626349,0.11682243,0.296511627,0.264018691,0.306695464,0.380841121,-0.09377422398433843,4.275988340377808,2.0243030928913393,"Xander Bogaerts",12161,593428
2024,"Miguel Sanó","LAA",28,95,2,9,6,0,0.094736842,0.378947368,0.108433735,0.326086956,0.204819277,0.294736842,0.313253012,-3.2688182058219297,-0.7598588168621063,-0.08900497069668797,"Miguel Sano",12164,593934
2024,"Jace Peterson","ARI",14,26,0,2,1,0,0.115384615,0.23076923,0,0.058823529,0.045454545,0.153846153,0.045454545,-4.255721621339945,-0.7960016131401062,-0.4323099632401266,"Jace Peterson",12325,607054
2024,"Kevin Pillar","- - -",100,314,8,38,45,12,0.050955414,0.219745222,0.147887324,0.271428571,0.228873239,0.290734824,0.376760563,-2.9305122539841806,-2.2244068533182144,0.5486562970248533,"Kevin Pillar",12434,607680
2024,"Curt Casali","SFG",41,125,1,12,8,0,0.104,0.176,0.055555556,0.235294117,0.194444444,0.292682926,0.25,-5.863970652509965,-2.2659411430358887,-0.4097323756428251,"Curt Casali",12510,592200
2024,"Marcus Semien","TEX",159,718,23,101,74,8,0.08913649,0.146239554,0.153846154,0.250478011,0.236923076,0.307799442,0.39076923,0.6869423247782875,15.701434135437012,4.164497148540168,"Marcus Semien",12533,543760
2024,"Eugenio Suárez","ARI",158,640,30,90,101,2,0.0765625,0.275,0.213660246,0.308510638,0.255691768,0.31875,0.469352014,10.389874833431671,5.142038345336914,3.8052217857361033,"Eugenio Suarez",12552,553993
